Year,Region,Total
2011,Africa ,5209
2011,Asia ,15875
2011,Europe ,5520
2011,North America ,637354
2011,Oceania ,498
2011,South America ,13357
2011,Unknown,793
2011,Total ,678606
2012,Africa ,4755
2012,Asia ,12424
2012,Europe ,5548
2012,North America ,634711
2012,Oceania ,458
2012,South America ,12507
2012,Unknown,924
2012,Total ,671327
2013,Africa ,3772
2013,Asia ,10771
2013,Europe ,4447
2013,North America ,629884
2013,Oceania ,428
2013,South America ,12459
2013,Unknown,722
2013,Total ,662483
2014,Africa ,3308
2014,Asia ,11131
2014,Europe ,3915
2014,North America ,648576
2014,Oceania ,369
2014,South America ,12174
2014,Unknown,523
2014,Total ,679996
2015,Africa ,2296
2015,Asia ,9825
2015,Europe ,2379
2015,North America ,439102
2015,Oceania ,241
2015,South America ,8284
2015,Unknown,261
2015,Total ,462388
2016,Africa ,2041
2016,Asia ,12269
2016,Europe ,3819
2016,North America ,501754
2016,Oceania ,245
2016,South America ,9875
2016,Unknown,247
2016,Total ,530250
2017,Africa ,2947
2017,Asia ,12484
2017,Europe ,2935
2017,North America ,432410
2017,Oceania ,286
2017,South America ,9628
2017,Unknown,850
2017,Total ,461540
2018,Africa ,4053
2018,Asia ,19503
2018,Europe ,3296
2018,North America ,533442
2018,Oceania ,327
2018,South America ,9294
2018,Unknown,2651
2018,Total ,572566
2019,Africa ,4874
2019,Asia ,18668
2019,Europe ,2996
2019,North America ,945283
2019,Oceania ,266
2019,South America ,40126
2019,Unknown,1326
2019,Total ,1013539
2020,Africa ,3485
2020,Asia ,7923
2020,Europe ,2075
2020,North America ,477939
2020,Oceania ,189
2020,South America ,25715
2020,Unknown,1271
2020,Total ,518597