Month,NothernLandBorder/Title8,NothernLandBorder/Title42,NothernLandBorderTotal,SouthwestLandBorder/Title8,SouthwestLandBorder/Title42,SouthwestLandBorder/Total,LandBorderTotal/Title8,LandBorderTotal/Title42,USBPTotalLandBorder
3/1/20,0,0,0,23308,7081,30389,0,0,0
4/1/20,0,0,0,1179,15003,16182,0,0,0
5/1/20,0,0,0,1549,20044,21593,0,0,0
6/1/20,0,0,0,2366,28470,30836,0,0,0
7/1/20,0,0,0,3160,35376,38536,0,0,0
8/1/20,0,0,0,4541,42742,47283,0,0,0
9/1/20,0,0,0,6444,48327,54771,0,0,0
10/1/20,0,0,0,6041,62991,69032,0,0,0
11/1/20,0,0,0,7881,61288,69169,0,0,0
12/1/20,0,0,0,10546,60595,71141,0,0,0
1/1/21,0,0,0,12787,62529,75316,0,0,0
2/1/21,0,0,0,25325,72318,97643,0,0,0
3/1/21,0,0,0,61970,107246,169216,0,0,0
4/1/21,0,0,0,62860,110839,173699,0,0,0
5/1/21,0,0,0,61165,111489,172654,0,0,0
6/1/21,0,0,0,75614,103035,178649,0,0,0
7/1/21,0,0,0,106443,94215,200658,0,0,0
8/1/21,0,0,0,103397,93117,196514,0,0,0
9/1/21,0,0,0,84957,100558,185515,0,0,0
10/01/21,44,55,99,66426,92691,159117,66470,92746,159216
11/01/21,33,63,96,79163,87853,167016,79196,87916,167112
12/01/21,84,31,115,90759,79842,170601,90843,79873,170716
01/01/22,61,16,77,70403,77414,147817,70464,77430,147894
02/01/22,70,52,122,68342,90721,159063,68412,90773,159185
03/01/22,95,22,117,101590,109350,210940,101685,109372,211057
04/01/22,168,38,206,105370,98052,203422,105538,98090,203628
05/01/22,175,22,197,120885,103512,224397,121060,103534,224594
06/01/22,200,23,223,99709,92762,192471,99909,92785,192694
07/01/22,224,43,267,107548,74217,181765,107772,74260,182032
08/01/22,282,31,313,110038,71122,181160,110320,71153,181473